Movimento 3 (w) pegou comida
Movimento 4 (w) pegou comida
Movimento 7 (a) colidiu na parede
Movimento 15 (w) colidiu na parede
Movimento 18 (a) colidiu na parede
Movimento 19 (a) colidiu na parede
Movimento 24 (a) colidiu na parede
Movimento 26 (a) colidiu na parede
Movimento 30 (a) colidiu na parede
Movimento 47 (d) colidiu na parede
Movimento 57 (w) colidiu na parede
Movimento 60 (a) colidiu na parede
Movimento 98 (s) colidiu na parede
Movimento 107 (a) colidiu na parede
Movimento 126 (d) colidiu na parede
Movimento 149 (s) colidiu na parede
Movimento 152 (d) colidiu na parede
Movimento 169 (d) colidiu na parede
Movimento 171 (d) pegou comida
Movimento 172 (s) colidiu na parede
Movimento 173 (s) colidiu na parede
Movimento 174 (w) colidiu na parede
Movimento 175 (s) colidiu na parede
Movimento 181 (a) colidiu na parede
Movimento 182 (a) colidiu na parede
Movimento 183 (d) pegou comida
Movimento 187 (w) colidiu na parede
Movimento 188 (a) colidiu na parede
Movimento 191 (s) colidiu na parede
Movimento 192 (s) colidiu na parede
Movimento 193 (s) colidiu na parede
Movimento 195 (w) colidiu na parede
Movimento 196 (w) colidiu na parede
Movimento 197 (w) colidiu na parede
Movimento 199 (s) colidiu na parede
Movimento 201 (w) colidiu na parede
Movimento 206 (s) colidiu na parede
Movimento 209 (d) colidiu na parede
Movimento 212 (d) colidiu na parede
Movimento 218 (a) colidiu na parede
Movimento 219 (w) colidiu na parede
Movimento 223 (a) colidiu na parede
Movimento 224 (a) colidiu na parede
Movimento 226 (a) colidiu na parede
Movimento 229 (a) colidiu na parede
Movimento 230 (a) colidiu na parede
Movimento 231 (w) colidiu na parede
Movimento 232 (a) colidiu na parede
Movimento 233 (w) colidiu na parede
Movimento 234 (a) colidiu na parede
Movimento 237 (a) colidiu na parede
Movimento 239 (d) pegou comida
Movimento 243 (w) colidiu na parede
Movimento 250 (d) colidiu na parede
Movimento 251 (s) pegou comida
Movimento 253 (a) colidiu na parede
Movimento 254 (a) colidiu na parede
Movimento 258 (d) colidiu na parede
Movimento 264 (d) colidiu na parede
Movimento 265 (d) colidiu na parede
Movimento 268 (d) pegou comida
Movimento 269 (d) pegou comida
Movimento 270 (w) colidiu na parede
Movimento 271 (s) colidiu na parede
Movimento 272 (w) colidiu na parede
Movimento 274 (w) colidiu na parede
Movimento 277 (w) colidiu na parede
Movimento 279 (w) colidiu na parede
Movimento 280 (s) colidiu na parede
Movimento 283 (w) colidiu na parede
Movimento 284 (d) colidiu na parede
Movimento 285 (s) pegou comida
Movimento 286 (s) colidiu na parede
Movimento 287 (s) colidiu na parede
Movimento 289 (w) colidiu na parede
Movimento 290 (s) colidiu na parede
Movimento 293 (w) colidiu na parede
Movimento 295 (s) colidiu na parede
Movimento 299 (w) colidiu na parede
Movimento 300 (w) colidiu na parede
Movimento 303 (a) colidiu na parede
Movimento 310 (s) colidiu na parede
Movimento 313 (s) pegou comida
Movimento 316 (s) colidiu na parede
Movimento 326 (d) colidiu na parede
Movimento 331 (d) colidiu na parede
Movimento 332 (d) colidiu na parede
Movimento 345 (w) colidiu na parede
Movimento 346 (d) pegou comida
Movimento 347 (w) colidiu na parede
Movimento 348 (d) colidiu na parede
Movimento 350 (d) colidiu na parede
Movimento 352 (d) colidiu na parede
Movimento 353 (w) colidiu na parede
Movimento 354 (d) colidiu na parede
Movimento 358 (a) colidiu na parede
Movimento 362 (s) colidiu na parede
Movimento 370 (d) colidiu na parede
Movimento 372 (d) colidiu na parede
Movimento 373 (d) colidiu na parede
Movimento 377 (a) colidiu na parede
Movimento 380 (a) colidiu na parede
Movimento 381 (a) colidiu na parede
Movimento 382 (a) colidiu na parede
Movimento 391 (d) colidiu na parede
Movimento 398 (s) colidiu na parede
Movimento 399 (w) colidiu na parede
Movimento 400 (s) colidiu na parede
Movimento 401 (w) colidiu na parede
Movimento 408 (w) colidiu na parede
Movimento 413 (s) colidiu na parede
Movimento 414 (w) colidiu na parede
Movimento 415 (w) colidiu na parede
Movimento 417 (s) colidiu na parede
Movimento 420 (s) colidiu na parede
Movimento 428 (a) colidiu na parede
Movimento 437 (s) colidiu na parede
Movimento 438 (w) colidiu na parede
Movimento 443 (d) colidiu na parede
Movimento 444 (d) colidiu na parede
Movimento 451 (s) pegou comida
Movimento 452 (a) colidiu na parede
Movimento 457 (d) colidiu na parede
Movimento 458 (d) colidiu na parede
Movimento 459 (d) colidiu na parede
Movimento 466 (w) colidiu na parede
Movimento 467 (w) colidiu na parede
Movimento 476 (w) colidiu na parede
Movimento 477 (w) colidiu na parede
Movimento 480 (w) colidiu na parede
Movimento 485 (s) colidiu na parede
Movimento 488 (w) colidiu na parede
Movimento 491 (a) colidiu na parede
Movimento 492 (a) colidiu na parede
Movimento 495 (w) colidiu na parede
Movimento 496 (w) colidiu na parede
Movimento 497 (a) colidiu na parede
Movimento 500 (a) colidiu na parede
Movimento 503 (w) colidiu na parede
Movimento 505 (s) colidiu na parede
Movimento 508 (w) colidiu na parede
Movimento 513 (s) colidiu na parede
Movimento 519 (s) colidiu na parede
Movimento 520 (s) colidiu na parede
Movimento 521 (s) colidiu na parede
Movimento 522 (s) colidiu na parede
Movimento 530 (a) colidiu na parede
Movimento 531 (a) colidiu na parede
Movimento 533 (a) colidiu na parede
Movimento 537 (a) colidiu na parede
Movimento 540 (w) colidiu na parede
Movimento 543 (a) colidiu na parede
Movimento 544 (d) colidiu na parede
Movimento 545 (w) pegou comida
Movimento 550 (w) colidiu na parede
Movimento 552 (w) colidiu na parede
Movimento 557 (a) colidiu na parede
Movimento 559 (w) colidiu na parede
Movimento 560 (a) colidiu na parede
Movimento 561 (a) colidiu na parede
Movimento 562 (w) colidiu na parede
Movimento 563 (w) colidiu na parede
Movimento 569 (d) colidiu na parede
Movimento 572 (s) colidiu na parede
Movimento 573 (w) colidiu na parede
Movimento 576 (d) colidiu na parede
Movimento 577 (a) colidiu na parede
Movimento 578 (a) colidiu na parede
Movimento 579 (d) colidiu na parede
Movimento 583 (w) colidiu na parede
Movimento 584 (w) colidiu na parede
Movimento 586 (w) colidiu na parede
Movimento 587 (s) pegou comida
Movimento 593 (a) pegou comida
Movimento 594 (a) colidiu na parede
Movimento 596 (d) colidiu na parede
